sepal_length,sepal_width,petal_length,petal_width,species
-0.9155094885405356,1.0535230492135514,-1.357736919867759,-1.3357000122338663,0
-1.157559659071935,-0.12328461214201085,-1.357736919867759,-1.3357000122338663,0
-1.3996098296033357,0.3474384524002145,-1.4147781680016716,-1.3357000122338663,0
-1.5206349148690366,0.11207692012910182,-1.300695671733846,-1.3357000122338663,0
-1.0365345738062353,1.2888845814846641,-1.357736919867759,-1.3357000122338663,0
-0.5524342327434341,1.994969178298001,-1.1866131754660205,-1.0709017630115085,0
-1.5206349148690366,0.8181615169424388,-1.357736919867759,-1.2033008876226874,0
-1.0365345738062353,0.8181615169424388,-1.300695671733846,-1.3357000122338663,0
-1.7626850854004361,-0.35864614441312354,-1.357736919867759,-1.3357000122338663,0
-1.157559659071935,0.11207692012910182,-1.300695671733846,-1.4680991368450451,0
-0.5524342327434341,1.5242461137557768,-1.300695671733846,-1.3357000122338663,0
-1.278584744337636,0.8181615169424388,-1.2436544235999334,-1.3357000122338663,0
-1.278584744337636,-0.12328461214201085,-1.357736919867759,-1.4680991368450451,0
-1.883710170666137,-0.12328461214201085,-1.5288606642694968,-1.4680991368450451,0
-0.06833389168063382,2.2303307105691137,-1.471819416135584,-1.3357000122338663,0
-0.1893589769463336,2.3480114767046696,-1.300695671733846,-1.0709017630115085,0
-0.5524342327434341,1.994969178298001,-1.4147781680016716,-1.0709017630115085,0
-0.9155094885405356,1.0535230492135514,-1.357736919867759,-1.2033008876226874,0
-0.1893589769463336,1.7596076460268884,-1.1866131754660205,-1.2033008876226874,0
-0.9155094885405356,1.7596076460268884,-1.300695671733846,-1.2033008876226874,0
-0.5524342327434341,0.8181615169424388,-1.1866131754660205,-1.3357000122338663,0
-0.9155094885405356,1.5242461137557768,-1.300695671733846,-1.0709017630115085,0
-1.5206349148690366,1.2888845814846641,-1.5859019124034095,-1.3357000122338663,0
-0.9155094885405356,0.5827999846713261,-1.1866131754660205,-0.9385026384003295,0
-1.278584744337636,0.8181615169424388,-1.0725306791981954,-1.3357000122338663,0
-1.0365345738062353,-0.12328461214201085,-1.2436544235999334,-1.3357000122338663,0
-1.0365345738062353,0.8181615169424388,-1.2436544235999334,-1.0709017630115085,0
-0.7944844032748347,1.0535230492135514,-1.300695671733846,-1.3357000122338663,0
-0.7944844032748347,0.8181615169424388,-1.357736919867759,-1.3357000122338663,0
-1.3996098296033357,0.3474384524002145,-1.2436544235999334,-1.3357000122338663,0
-1.278584744337636,0.11207692012910182,-1.2436544235999334,-1.3357000122338663,0
-0.5524342327434341,0.8181615169424388,-1.300695671733846,-1.0709017630115085,0
-0.7944844032748347,2.3480114767046696,-1.300695671733846,-1.4680991368450451,0
-0.4314091474777343,2.3480114767046696,-1.357736919867759,-1.3357000122338663,0
-1.0365345738062353,0.3474384524002145,-1.471819416135584,-1.3357000122338663,0
-0.4314091474777343,1.0535230492135514,-1.4147781680016716,-1.3357000122338663,0
-1.7626850854004361,-0.12328461214201085,-1.4147781680016716,-1.3357000122338663,0
